OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerState,Region,ProductID,Quantity,UnitPrice,Discount,SalesAmount,Profit
ORD-2025-00024,2025-01-23,2025-01-25,Second Class,C-011,TX,South,P-016,1,6.99,0.15,5.94,2.74
ORD-2025-00025,2025-04-06,2025-04-12,First Class,C-033,TX,South,P-020,2,34.99,0.05,66.48,38.48
ORD-2025-00026,2025-11-12,2025-11-17,Standard Class,C-009,MA,East,P-008,12,89.99,0,1079.88,623.88
ORD-2025-00027,2025-07-02,2025-07-04,Same Day,C-030,MD,East,P-018,11,8.99,0.05,93.95,54.35
ORD-2024-00028,2024-06-28,2024-07-02,Second Class,C-037,OH,North,P-019,9,68,0.05,581.4,275.4
ORD-2024-00029,2024-04-06,2024-04-09,First Class,C-021,FL,South,P-003,9,849,0.15,6494.85,1634.85
ORD-2025-00030,2025-02-25,2025-03-01,Same Day,C-014,CA,West,P-020,4,34.99,0.05,132.96,76.96
ORD-2025-00031,2025-07-14,2025-07-18,Same Day,C-030,MD,East,P-008,9,89.99,0.1,728.92,386.92
ORD-2024-00032,2024-01-16,2024-01-20,First Class,C-017,TN,South,P-015,11,289,0.1,2861.1,1046.1
ORD-2024-00033,2024-03-25,2024-03-29,Standard Class,C-006,WA,West,P-018,1,8.99,0.15,7.64,4.04
ORD-2025-00034,2025-10-22,2025-10-27,First Class,C-004,TX,South,P-008,2,89.99,0,179.98,103.98
ORD-2024-00035,2024-01-10,2024-01-14,Same Day,C-002,CA,West,P-019,8,68,0.1,489.6,217.6
ORD-2024-00036,2024-05-13,2024-05-17,Same Day,C-037,OH,North,P-013,11,179,0,1969,924
ORD-2025-00037,2025-04-16,2025-04-19,First Class,C-038,LA,South,P-020,10,34.99,0.2,279.92,139.92
ORD-2025-00038,2025-11-17,2025-11-20,Standard Class,C-025,TN,South,P-004,8,499,0.15,3393.2,913.2
ORD-2024-00039,2024-08-07,2024-08-13,First Class,C-016,OH,North,P-010,7,429,0.1,2702.7,1022.7
ORD-2024-00040,2024-02-28,2024-03-05,Same Day,C-025,TN,South,P-001,8,1299,0.15,8833.2,2753.2
ORD-2025-00041,2025-10-15,2025-10-18,Second Class,C-007,GA,South,P-003,12,849,0.1,9169.2,2689.2
ORD-2024-00042,2024-12-09,2024-12-15,Second Class,C-007,GA,South,P-002,3,999,0,2997,1167
ORD-2025-00043,2025-12-21,2025-12-22,Same Day,C-001,NY,East,P-006,7,49.99,0.1,314.94,167.94
ORD-2025-00044,2025-03-30,2025-04-06,Second Class,C-018,NC,South,P-015,6,289,0.2,1387.2,397.2
ORD-2024-00045,2024-01-05,2024-01-06,First Class,C-026,IN,North,P-013,5,179,0.1,805.5,330.5
ORD-2024-00046,2024-07-25,2024-07-31,First Class,C-031,BC,North,P-008,2,89.99,0.1,161.98,85.98
ORD-2024-00047,2024-08-30,2024-09-03,Standard Class,C-037,OH,North,P-010,3,429,0.15,1093.95,373.95
ORD-2025-00048,2025-03-18,2025-03-24,Standard Class,C-033,TX,South,P-006,9,49.99,0,449.91,260.91
ORD-2024-00049,2024-10-11,2024-10-12,Second Class,C-017,TN,South,P-009,11,199,0.2,1751.2,695.2
ORD-2025-00050,2025-03-16,2025-03-18,First Class,C-009,MA,East,P-015,7,289,0.15,1719.55,564.55
ORD-2025-00051,2025-12-31,2026-01-02,First Class,C-019,NV,West,P-017,11,12.49,0,137.39,81.29
ORD-2024-00052,2024-07-17,2024-07-24,Second Class,C-040,KY,South,P-013,4,179,0.05,680.2,300.2
ORD-2024-00053,2024-03-04,2024-03-08,Standard Class,C-008,MI,North,P-019,7,68,0.2,380.8,142.8
ORD-2024-00054,2024-08-20,2024-08-23,Standard Class,C-021,FL,South,P-019,5,68,0.1,306,136
ORD-2024-00055,2024-11-08,2024-11-15,Standard Class,C-026,IN,North,P-004,5,499,0.05,2370.25,820.25
ORD-2024-00056,2024-11-21,2024-11-25,First Class,C-010,CO,West,P-018,5,8.99,0.05,42.7,24.7
ORD-2025-00057,2025-05-29,2025-06-04,Second Class,C-001,NY,East,P-010,7,429,0,3003,1323
ORD-2025-00058,2025-09-14,2025-09-15,Standard Class,C-007,GA,South,P-005,6,329,0.05,1875.3,705.3
ORD-2024-00059,2024-06-02,2024-06-06,Second Class,C-027,OH,North,P-017,6,12.49,0.1,67.45,36.85
ORD-2024-00060,2024-10-03,2024-10-06,Second Class,C-029,TX,South,P-004,2,499,0.2,798.4,178.4
ORD-2025-00061,2025-05-16,2025-05-18,Second Class,C-025,TN,South,P-009,8,199,0.1,1432.8,664.8
ORD-2025-00062,2025-06-26,2025-06-30,Second Class,C-003,IL,North,P-016,10,6.99,0.2,55.92,23.92
ORD-2024-00063,2024-04-03,2024-04-05,Same Day,C-036,PA,East,P-007,3,119,0.1,321.3,129.3
ORD-2024-00064,2024-03-07,2024-03-13,Same Day,C-037,OH,North,P-005,5,329,0,1645,670
ORD-2025-00065,2025-11-03,2025-11-06,Standard Class,C-029,TX,South,P-020,12,34.99,0.2,335.9,167.9
ORD-2025-00066,2025-09-16,2025-09-17,First Class,C-030,MD,East,P-016,11,6.99,0.15,65.36,30.16
ORD-2025-00067,2025-08-12,2025-08-17,Same Day,C-008,MI,North,P-018,4,8.99,0.05,34.16,19.76
ORD-2024-00068,2024-02-18,2024-02-25,Second Class,C-037,OH,North,P-020,10,34.99,0.2,279.92,139.92
ORD-2025-00069,2025-11-07,2025-11-10,Second Class,C-003,IL,North,P-019,7,68,0.05,452.2,214.2
ORD-2024-00070,2024-02-17,2024-02-21,Same Day,C-040,KY,South,P-001,5,1299,0.15,5520.75,1720.75
ORD-2025-00071,2025-05-30,2025-06-06,First Class,C-032,AB,North,P-006,7,49.99,0.1,314.94,167.94
ORD-2024-00072,2024-11-14,2024-11-19,Standard Class,C-031,BC,North,P-017,12,12.49,0.2,119.9,58.7
ORD-2025-00073,2025-06-10,2025-06-13,First Class,C-014,CA,West,P-016,8,6.99,0,55.92,30.32
ORD-2025-00074,2025-12-07,2025-12-12,Same Day,C-038,LA,South,P-003,3,849,0.05,2419.65,799.65
ORD-2025-00075,2025-12-11,2025-12-15,Standard Class,C-030,MD,East,P-006,7,49.99,0.1,314.94,167.94
ORD-2024-00076,2024-08-01,2024-08-07,First Class,C-039,OK,Central,P-020,6,34.99,0.2,167.95,83.95
ORD-2024-00077,2024-05-21,2024-05-26,Standard Class,C-036,PA,East,P-012,5,249,0.05,1182.75,482.75
ORD-2025-00078,2025-09-29,2025-10-03,Second Class,C-034,CA,West,P-006,11,49.99,0,549.89,318.89
ORD-2025-00079,2025-03-13,2025-03-17,Standard Class,C-006,WA,West,P-013,9,179,0,1611,756
ORD-2024-00080,2024-01-11,2024-01-13,First Class,C-020,MO,North,P-001,8,1299,0.15,8833.2,2753.2
ORD-2025-00081,2025-04-24,2025-04-28,Same Day,C-028,WI,North,P-005,9,329,0.15,2516.85,761.85
ORD-2025-00082,2025-06-06,2025-06-08,First Class,C-031,BC,North,P-019,5,68,0,340,170
ORD-2024-00083,2024-11-11,2024-11-15,Standard Class,C-016,OH,North,P-018,6,8.99,0.05,51.24,29.64
ORD-2024-00084,2024-04-03,2024-04-07,Second Class,C-034,CA,West,P-020,6,34.99,0.1,188.95,104.95
ORD-2024-00085,2024-02-10,2024-02-15,Second Class,C-012,FL,South,P-007,11,119,0,1309,605
ORD-2025-00086,2025-12-18,2025-12-22,Second Class,C-012,FL,South,P-005,7,329,0.1,2072.7,707.7
ORD-2024-00087,2024-04-10,2024-04-13,First Class,C-017,TN,South,P-007,1,119,0.05,113.05,49.05
ORD-2025-00088,2025-04-01,2025-04-04,Standard Class,C-001,NY,East,P-004,8,499,0,3992,1512
ORD-2025-00089,2025-10-18,2025-10-19,Standard Class,C-007,GA,South,P-004,1,499,0.05,474.05,164.05
ORD-2025-00090,2025-08-31,2025-09-06,Standard Class,C-038,LA,South,P-003,6,849,0,5094,1854
ORD-2024-00091,2024-11-18,2024-11-25,Second Class,C-013,ON,North,P-018,8,8.99,0.05,68.32,39.52
ORD-2024-00092,2024-06-23,2024-06-27,Second Class,C-027,OH,North,P-002,4,999,0.1,3596.4,1156.4
ORD-2024-00093,2024-06-03,2024-06-05,Standard Class,C-022,UT,West,P-019,7,68,0.05,452.2,214.2
ORD-2024-00094,2024-11-04,2024-11-05,Standard Class,C-029,TX,South,P-017,12,12.49,0.15,127.4,66.2
ORD-2025-00095,2025-01-13,2025-01-15,Standard Class,C-024,NC,South,P-013,12,179,0.05,2040.6,900.6
ORD-2025-00096,2025-03-08,2025-03-11,First Class,C-035,MO,North,P-004,12,499,0,5988,2268
ORD-2024-00097,2024-02-19,2024-02-20,Same Day,C-033,TX,South,P-019,6,68,0.1,367.2,163.2
ORD-2024-00098,2024-02-09,2024-02-10,First Class,C-019,NV,West,P-018,6,8.99,0,53.94,32.34
ORD-2024-00099,2024-11-08,2024-11-12,First Class,C-013,ON,North,P-020,3,34.99,0,104.97,62.97
ORD-2024-00100,2024-02-06,2024-02-08,Same Day,C-011,TX,South,P-014,9,59,0.15,451.35,199.35
ORD-2024-00101,2024-08-01,2024-08-06,Second Class,C-031,BC,North,P-018,4,8.99,0.15,30.57,16.17
ORD-2024-00102,2024-09-16,2024-09-22,Second Class,C-011,TX,South,P-011,11,559,0,6149,2519
ORD-2025-00103,2025-08-19,2025-08-22,Standard Class,C-032,AB,North,P-010,9,429,0,3861,1701
ORD-2025-00104,2025-02-07,2025-02-08,Second Class,C-001,NY,East,P-013,9,179,0.15,1369.35,514.35
ORD-2024-00105,2024-09-17,2024-09-21,First Class,C-011,TX,South,P-011,9,559,0.05,4779.45,1809.45
ORD-2025-00106,2025-05-21,2025-05-28,First Class,C-003,IL,North,P-004,11,499,0,5489,2079
ORD-2024-00107,2024-11-17,2024-11-19,Standard Class,C-025,TN,South,P-009,5,199,0,995,515
ORD-2025-00108,2025-03-12,2025-03-16,Standard Class,C-030,MD,East,P-008,3,89.99,0,269.97,155.97
ORD-2025-00109,2025-04-29,2025-05-02,Same Day,C-013,ON,North,P-007,9,119,0.05,1017.45,441.45
ORD-2025-00110,2025-08-14,2025-08-16,Same Day,C-021,FL,South,P-018,6,8.99,0.15,45.85,24.25
ORD-2024-00111,2024-01-19,2024-01-26,Standard Class,C-013,ON,North,P-003,12,849,0.05,9678.6,3198.6
ORD-2024-00112,2024-04-08,2024-04-15,First Class,C-020,MO,North,P-020,9,34.99,0.05,299.16,173.16
ORD-2024-00113,2024-11-02,2024-11-04,Same Day,C-019,NV,West,P-006,10,49.99,0.1,449.91,239.91
ORD-2025-00114,2025-05-13,2025-05-20,First Class,C-029,TX,South,P-018,1,8.99,0,8.99,5.39
ORD-2025-00115,2025-07-09,2025-07-14,Standard Class,C-035,MO,North,P-017,3,12.49,0.05,35.6,20.3
ORD-2024-00116,2024-10-04,2024-10-11,Standard Class,C-006,WA,West,P-020,9,34.99,0.1,283.42,157.42
ORD-2025-00117,2025-02-03,2025-02-04,First Class,C-011,TX,South,P-012,6,249,0.05,1419.3,579.3
ORD-2024-00118,2024-03-23,2024-03-27,Standard Class,C-018,NC,South,P-006,6,49.99,0,299.94,173.94
ORD-2024-00119,2024-07-20,2024-07-22,Second Class,C-030,MD,East,P-003,2,849,0,1698,618
ORD-2025-00120,2025-10-07,2025-10-09,Same Day,C-036,PA,East,P-003,1,849,0.2,679.2,139.2
ORD-2024-00121,2024-05-28,2024-05-29,Standard Class,C-032,AB,North,P-007,10,119,0.2,952,312
ORD-2025-00122,2025-07-24,2025-07-29,First Class,C-030,MD,East,P-001,9,1299,0,11691,4851
ORD-2025-00123,2025-08-23,2025-08-26,Standard Class,C-022,UT,West,P-006,12,49.99,0.1,539.89,287.89
ORD-2024-00124,2024-10-11,2024-10-17,Second Class,C-038,LA,South,P-010,3,429,0,1287,567
ORD-2024-00125,2024-03-16,2024-03-22,Same Day,C-024,NC,South,P-016,6,6.99,0.1,37.75,18.55
ORD-2024-00126,2024-11-03,2024-11-07,Standard Class,C-006,WA,West,P-014,2,59,0.05,112.1,56.1
ORD-2024-00127,2024-09-10,2024-09-13,Same Day,C-003,IL,North,P-003,1,849,0.2,679.2,139.2
ORD-2025-00128,2025-10-05,2025-10-11,Standard Class,C-019,NV,West,P-014,10,59,0.05,560.5,280.5
ORD-2025-00129,2025-02-22,2025-02-23,First Class,C-023,FL,South,P-020,12,34.99,0,419.88,251.88
ORD-2025-00130,2025-11-17,2025-11-19,Standard Class,C-011,TX,South,P-011,3,559,0.05,1593.15,603.15
ORD-2025-00131,2025-11-15,2025-11-19,First Class,C-035,MO,North,P-012,2,249,0.1,448.2,168.2
ORD-2024-00132,2024-06-21,2024-06-26,Same Day,C-019,NV,West,P-013,1,179,0,179,84
ORD-2025-00133,2025-02-04,2025-02-10,Second Class,C-031,BC,North,P-020,7,34.99,0,244.93,146.93
ORD-2024-00134,2024-05-21,2024-05-28,Second Class,C-001,NY,East,P-020,11,34.99,0.15,327.16,173.16
ORD-2024-00135,2024-04-12,2024-04-19,First Class,C-019,NV,West,P-018,7,8.99,0.05,59.78,34.58
ORD-2024-00136,2024-12-01,2024-12-02,First Class,C-006,WA,West,P-005,10,329,0,3290,1340
ORD-2024-00137,2024-12-17,2024-12-22,Second Class,C-009,MA,East,P-014,2,59,0.1,106.2,50.2
ORD-2024-00138,2024-07-06,2024-07-11,First Class,C-037,OH,North,P-012,7,249,0.1,1568.7,588.7
ORD-2025-00139,2025-10-19,2025-10-24,Same Day,C-031,BC,North,P-006,7,49.99,0.1,314.94,167.94
ORD-2024-00140,2024-05-26,2024-05-30,First Class,C-019,NV,West,P-019,8,68,0.2,435.2,163.2
ORD-2024-00141,2024-05-26,2024-05-28,Standard Class,C-015,OR,West,P-015,11,289,0,3179,1364
ORD-2024-00142,2024-09-08,2024-09-09,First Class,C-002,CA,West,P-009,8,199,0,1592,824
ORD-2025-00143,2025-09-04,2025-09-10,Second Class,C-036,PA,East,P-013,7,179,0.15,1065.05,400.05
ORD-2025-00144,2025-07-27,2025-08-01,First Class,C-004,TX,South,P-001,3,1299,0,3897,1617
ORD-2025-00145,2025-06-17,2025-06-19,Same Day,C-001,NY,East,P-015,12,289,0.15,2947.8,967.8
ORD-2024-00146,2024-01-25,2024-01-31,Standard Class,C-003,IL,North,P-009,5,199,0.15,845.75,365.75
ORD-2025-00147,2025-07-29,2025-08-05,First Class,C-028,WI,North,P-011,10,559,0.05,5310.5,2010.5
ORD-2024-00148,2024-08-31,2024-09-02,Standard Class,C-012,FL,South,P-017,6,12.49,0,74.94,44.34
ORD-2024-00149,2024-04-24,2024-04-25,Standard Class,C-021,FL,South,P-001,4,1299,0.05,4936.2,1896.2
ORD-2024-00150,2024-02-12,2024-02-18,Second Class,C-014,CA,West,P-005,3,329,0.1,888.3,303.3
ORD-2024-00151,2024-01-29,2024-02-05,First Class,C-006,WA,West,P-014,7,59,0,413,217
ORD-2025-00152,2025-02-28,2025-03-04,Same Day,C-026,IN,North,P-019,12,68,0,816,408
ORD-2024-00153,2024-09-15,2024-09-18,Same Day,C-011,TX,South,P-005,7,329,0.1,2072.7,707.7
ORD-2025-00154,2025-05-11,2025-05-16,Same Day,C-034,CA,West,P-013,7,179,0.05,1190.35,525.35
ORD-2024-00155,2024-08-20,2024-08-25,Second Class,C-023,FL,South,P-005,2,329,0,658,268
ORD-2025-00156,2025-07-06,2025-07-12,Same Day,C-015,OR,West,P-005,2,329,0.1,592.2,202.2
ORD-2024-00157,2024-11-04,2024-11-09,First Class,C-007,GA,South,P-010,9,429,0,3861,1701
ORD-2025-00158,2025-03-06,2025-03-07,Same Day,C-019,NV,West,P-004,9,499,0,4491,1701
ORD-2024-00159,2024-05-07,2024-05-14,Standard Class,C-030,MD,East,P-003,9,849,0,7641,2781
ORD-2024-00160,2024-03-17,2024-03-24,Second Class,C-033,TX,South,P-006,6,49.99,0.1,269.95,143.95
ORD-2024-00161,2024-07-31,2024-08-04,Standard Class,C-030,MD,East,P-010,4,429,0.2,1372.8,412.8
ORD-2025-00162,2025-05-20,2025-05-25,First Class,C-005,AZ,West,P-002,10,999,0.1,8991,2891
ORD-2024-00163,2024-04-23,2024-04-26,First Class,C-039,OK,Central,P-004,1,499,0.05,474.05,164.05
ORD-2025-00164,2025-12-27,2025-12-30,Same Day,C-018,NC,South,P-018,10,8.99,0,89.9,53.9
ORD-2024-00165,2024-01-07,2024-01-11,Second Class,C-035,MO,North,P-017,2,12.49,0,24.98,14.78
ORD-2024-00166,2024-10-18,2024-10-21,Same Day,C-026,IN,North,P-002,11,999,0,10989,4279
ORD-2025-00167,2025-01-31,2025-02-01,Second Class,C-008,MI,North,P-005,11,329,0.05,3438.05,1293.05
ORD-2024-00168,2024-08-16,2024-08-18,Same Day,C-034,CA,West,P-019,10,68,0.1,612,272
ORD-2025-00169,2025-11-25,2025-12-02,First Class,C-018,NC,South,P-014,10,59,0,590,310
ORD-2025-00170,2025-02-01,2025-02-03,Second Class,C-039,OK,Central,P-006,1,49.99,0.1,44.99,23.99
ORD-2024-00171,2024-04-21,2024-04-22,Second Class,C-023,FL,South,P-011,10,559,0.05,5310.5,2010.5
ORD-2025-00172,2025-03-31,2025-04-05,Second Class,C-007,GA,South,P-018,7,8.99,0,62.93,37.73
ORD-2024-00173,2024-12-16,2024-12-20,Second Class,C-022,UT,West,P-020,3,34.99,0.1,94.47,52.47
ORD-2024-00174,2024-11-11,2024-11-15,Same Day,C-031,BC,North,P-002,9,999,0.05,8541.45,3051.45
ORD-2024-00175,2024-07-20,2024-07-22,Second Class,C-030,MD,East,P-020,11,34.99,0.1,346.4,192.4
ORD-2024-00176,2024-04-20,2024-04-27,Second Class,C-031,BC,North,P-019,11,68,0,748,374
ORD-2024-00177,2024-08-28,2024-08-30,Standard Class,C-002,CA,West,P-017,3,12.49,0.2,29.98,14.68
ORD-2024-00178,2024-03-09,2024-03-11,First Class,C-032,AB,North,P-014,11,59,0,649,341
ORD-2024-00179,2024-02-16,2024-02-22,First Class,C-021,FL,South,P-019,9,68,0.2,489.6,183.6
ORD-2024-00180,2024-06-17,2024-06-22,First Class,C-003,IL,North,P-013,10,179,0,1790,840
ORD-2025-00181,2025-11-14,2025-11-19,Second Class,C-008,MI,North,P-017,11,12.49,0.1,123.65,67.55
ORD-2024-00182,2024-01-20,2024-01-27,Standard Class,C-019,NV,West,P-016,7,6.99,0.1,44.04,21.64
ORD-2025-00183,2025-07-02,2025-07-05,Standard Class,C-014,CA,West,P-002,9,999,0.1,8091.9,2601.9
ORD-2024-00184,2024-07-20,2024-07-22,First Class,C-034,CA,West,P-014,1,59,0.2,47.2,19.2
ORD-2025-00185,2025-10-22,2025-10-25,Same Day,C-030,MD,East,P-019,8,68,0.1,489.6,217.6
ORD-2024-00186,2024-03-08,2024-03-09,Same Day,C-002,CA,West,P-007,1,119,0,119,55
ORD-2024-00187,2024-03-21,2024-03-22,First Class,C-029,TX,South,P-009,6,199,0,1194,618
ORD-2025-00188,2025-02-12,2025-02-18,Standard Class,C-006,WA,West,P-011,3,559,0.15,1425.45,435.45
ORD-2024-00189,2024-04-19,2024-04-22,Second Class,C-025,TN,South,P-013,10,179,0.05,1700.5,750.5
ORD-2025-00190,2025-04-21,2025-04-26,Same Day,C-024,NC,South,P-012,8,249,0.15,1693.2,573.2
ORD-2024-00191,2024-06-08,2024-06-15,Same Day,C-017,TN,South,P-009,12,199,0.05,2268.6,1116.6
ORD-2024-00192,2024-07-02,2024-07-03,First Class,C-026,IN,North,P-005,4,329,0.1,1184.4,404.4
ORD-2025-00193,2025-10-24,2025-10-25,Second Class,C-031,BC,North,P-005,11,329,0,3619,1474
ORD-2025-00194,2025-05-08,2025-05-14,Standard Class,C-022,UT,West,P-007,3,119,0.1,321.3,129.3
ORD-2025-00195,2025-01-11,2025-01-13,Same Day,C-022,UT,West,P-003,5,849,0,4245,1545
ORD-2024-00196,2024-06-21,2024-06-22,Second Class,C-024,NC,South,P-018,12,8.99,0.2,86.3,43.1
ORD-2024-00197,2024-03-31,2024-04-04,Same Day,C-001,NY,East,P-004,10,499,0.05,4740.5,1640.5
ORD-2024-00198,2024-06-09,2024-06-13,Same Day,C-014,CA,West,P-018,9,8.99,0,80.91,48.51
ORD-2024-00199,2024-06-27,2024-06-29,Same Day,C-005,AZ,West,P-011,10,559,0.05,5310.5,2010.5
ORD-2025-00200,2025-08-02,2025-08-07,Same Day,C-013,ON,North,P-013,3,179,0,537,252
ORD-2025-00201,2025-01-08,2025-01-11,Standard Class,C-004,TX,South,P-001,11,1299,0.2,11431.2,3071.2
ORD-2025-00202,2025-12-21,2025-12-24,Standard Class,C-027,OH,North,P-007,6,119,0.05,678.3,294.3
ORD-2024-00203,2024-11-10,2024-11-17,Same Day,C-001,NY,East,P-011,8,559,0,4472,1832
ORD-2024-00204,2024-07-15,2024-07-22,Same Day,C-023,FL,South,P-007,2,119,0.1,214.2,86.2
ORD-2024-00205,2024-01-13,2024-01-19,Standard Class,C-001,NY,East,P-004,7,499,0.15,2969.05,799.05
ORD-2025-00206,2025-03-14,2025-03-17,Second Class,C-021,FL,South,P-017,8,12.49,0,99.92,59.12
ORD-2025-00207,2025-11-04,2025-11-06,Same Day,C-017,TN,South,P-018,7,8.99,0,62.93,37.73
ORD-2024-00208,2024-01-01,2024-01-02,Standard Class,C-003,IL,North,P-001,4,1299,0.05,4936.2,1896.2
ORD-2024-00209,2024-03-22,2024-03-25,First Class,C-018,NC,South,P-004,9,499,0.05,4266.45,1476.45
ORD-2025-00210,2025-02-07,2025-02-14,Standard Class,C-012,FL,South,P-005,8,329,0,2632,1072
ORD-2025-00211,2025-10-08,2025-10-15,Same Day,C-027,OH,North,P-014,9,59,0.05,504.45,252.45
ORD-2025-00212,2025-09-06,2025-09-09,Second Class,C-002,CA,West,P-002,10,999,0.05,9490.5,3390.5
ORD-2025-00213,2025-05-08,2025-05-13,Standard Class,C-003,IL,North,P-001,2,1299,0.05,2468.1,948.1
ORD-2024-00214,2024-06-27,2024-07-03,Same Day,C-018,NC,South,P-018,7,8.99,0.05,59.78,34.58
ORD-2024-00215,2024-02-08,2024-02-09,First Class,C-038,LA,South,P-019,5,68,0,340,170
ORD-2024-00216,2024-06-23,2024-06-25,Same Day,C-015,OR,West,P-018,8,8.99,0,71.92,43.12
ORD-2025-00217,2025-11-21,2025-11-23,Same Day,C-034,CA,West,P-006,7,49.99,0,349.93,202.93
ORD-2025-00218,2025-01-26,2025-02-01,Second Class,C-034,CA,West,P-010,11,429,0.1,4247.1,1607.1
ORD-2024-00219,2024-08-25,2024-08-27,First Class,C-031,BC,North,P-001,10,1299,0.1,11691,4091
ORD-2025-00220,2025-11-18,2025-11-22,Same Day,C-012,FL,South,P-006,11,49.99,0.1,494.9,263.9
ORD-2025-00221,2025-01-05,2025-01-09,Same Day,C-002,CA,West,P-014,4,59,0,236,124
ORD-2024-00222,2024-06-28,2024-07-05,First Class,C-040,KY,South,P-014,10,59,0.2,472,192
ORD-2024-00223,2024-09-04,2024-09-11,Standard Class,C-007,GA,South,P-004,7,499,0.1,3143.7,973.7
ORD-2025-00224,2025-02-06,2025-02-10,Second Class,C-024,NC,South,P-003,8,849,0.15,5773.2,1453.2
ORD-2025-00225,2025-09-26,2025-10-02,First Class,C-016,OH,North,P-010,10,429,0,4290,1890
ORD-2025-00226,2025-10-06,2025-10-11,Same Day,C-005,AZ,West,P-007,11,119,0,1309,605
ORD-2025-00227,2025-12-28,2026-01-04,Second Class,C-008,MI,North,P-007,12,119,0,1428,660
ORD-2024-00228,2024-09-01,2024-09-04,Same Day,C-003,IL,North,P-003,2,849,0,1698,618
ORD-2024-00229,2024-08-02,2024-08-08,Second Class,C-015,OR,West,P-018,6,8.99,0.15,45.85,24.25
ORD-2025-00230,2025-01-09,2025-01-10,Standard Class,C-026,IN,North,P-007,8,119,0.1,856.8,344.8
ORD-2025-00231,2025-07-14,2025-07-19,Second Class,C-025,TN,South,P-004,6,499,0,2994,1134
ORD-2024-00232,2024-05-31,2024-06-01,Second Class,C-027,OH,North,P-002,3,999,0,2997,1167
ORD-2024-00233,2024-10-16,2024-10-20,Standard Class,C-033,TX,South,P-008,10,89.99,0.2,719.92,339.92
ORD-2025-00234,2025-12-15,2025-12-18,Standard Class,C-008,MI,North,P-008,2,89.99,0.1,161.98,85.98
ORD-2025-00235,2025-06-09,2025-06-13,First Class,C-040,KY,South,P-006,7,49.99,0,349.93,202.93
ORD-2025-00236,2025-06-19,2025-06-24,Standard Class,C-003,IL,North,P-009,3,199,0.15,507.45,219.45
ORD-2024-00237,2024-06-15,2024-06-20,Second Class,C-024,NC,South,P-014,3,59,0.05,168.15,84.15
ORD-2025-00238,2025-11-12,2025-11-18,First Class,C-013,ON,North,P-002,6,999,0.1,5394.6,1734.6
ORD-2025-00239,2025-09-07,2025-09-11,Standard Class,C-021,FL,South,P-016,7,6.99,0.05,46.48,24.08
ORD-2024-00240,2024-05-30,2024-06-02,Same Day,C-034,CA,West,P-009,2,199,0.1,358.2,166.2
