OrderID,OrderDate,CoffeeName,Quantity,UnitPrice,TotalAmount,PaymentMethod
COF-00140,2024-12-04,"Latte",6,5.5,33,Card
COF-00141,2024-11-02,"Latte",6,5.5,33,Card
COF-00142,2024-08-29,"Latte",10,5.5,55,Card
COF-00143,2024-04-23,"Latte",5,5.5,27.5,Card
COF-00144,2024-11-07,"Latte",9,5.5,49.5,Card
COF-00145,2025-01-26,"Latte",7,5.5,38.5,Card
COF-00146,2024-12-06,"Latte",7,5.5,38.5,Card
COF-00147,2025-03-14,"Latte",10,5.5,55,Card
COF-00148,2024-07-01,"Latte",5,5.5,27.5,Card
COF-00149,2025-03-30,"Latte",9,5.5,49.5,Card
COF-00150,2024-10-10,"Latte",10,5.5,55,Card
COF-00151,2024-10-20,"Latte",7,5.5,38.5,Card
COF-00152,2024-12-25,"Latte",8,5.5,44,Card
COF-00153,2024-03-22,"Latte",6,5.5,33,Card
COF-00154,2024-03-13,"Latte",9,5.5,49.5,Card
COF-00155,2024-05-23,"Latte",5,5.5,27.5,Cash
COF-00156,2024-05-21,"Latte",10,5.5,55,Card
COF-00157,2024-04-21,"Latte",4,5.5,22,Card
COF-00158,2024-09-04,"Latte",8,5.5,44,Card
COF-00159,2024-12-11,"Latte",5,5.5,27.5,Card
COF-00160,2024-09-03,"Latte",6,5.5,33,Card
COF-00161,2025-01-31,"Latte",7,5.5,38.5,Card
COF-00162,2025-01-06,"Latte",3,5.5,16.5,Card
COF-00163,2024-08-06,"Latte",3,5.5,16.5,Card
COF-00164,2024-08-09,"Latte",8,5.5,44,Card
COF-00165,2025-01-22,"Latte",10,5.5,55,Card
COF-00166,2025-01-15,"Latte",3,5.5,16.5,Card
COF-00167,2025-02-03,"Latte",9,5.5,49.5,Card
COF-00168,2024-08-07,"Latte",6,5.5,33,Card
COF-00169,2024-04-28,"Latte",3,5.5,16.5,Card
COF-00170,2024-12-20,"Latte",3,5.5,16.5,Card
COF-00171,2024-12-29,"Latte",7,5.5,38.5,Card
COF-00172,2024-08-02,"Latte",4,5.5,22,Card
COF-00173,2024-09-12,"Latte",6,5.5,33,Card
COF-00174,2025-01-11,"Latte",9,5.5,49.5,Card
COF-00175,2024-06-27,"Latte",8,5.5,44,Card
COF-00176,2024-09-04,"Latte",8,5.5,44,Card
COF-00177,2024-07-15,"Latte",10,5.5,55,Card
COF-00178,2024-05-30,"Latte",7,5.5,38.5,Card
COF-00179,2024-06-30,"Latte",6,5.5,33,Card
COF-00180,2024-08-30,"Latte",8,5.5,44,Card
COF-00181,2024-07-12,"Latte",8,5.5,44,Card
COF-00182,2024-08-30,"Latte",8,5.5,44,Card
COF-00183,2024-05-24,"Latte",6,5.5,33,Card
COF-00184,2025-01-12,"Latte",5,5.5,27.5,Card
COF-00185,2024-12-11,"Latte",3,5.5,16.5,Card
COF-00186,2025-03-01,"Latte",3,5.5,16.5,Card
COF-00187,2024-06-30,"Latte",8,5.5,44,Card
COF-00188,2024-03-18,"Latte",6,5.5,33,Card
COF-00189,2024-05-18,"Latte",7,5.5,38.5,Card
COF-00190,2024-06-07,"Latte",3,5.5,16.5,Card
COF-00191,2024-04-30,"Latte",3,5.5,16.5,Card
COF-00192,2024-07-05,"Latte",6,5.5,33,Card
COF-00193,2025-01-31,"Latte",9,5.5,49.5,Card
COF-00194,2024-08-23,"Latte",5,5.5,27.5,Card
COF-00195,2024-04-01,"Latte",7,5.5,38.5,Card
COF-00196,2024-10-01,"Latte",7,5.5,38.5,Card
COF-00197,2024-11-27,"Latte",6,5.5,33,Card
COF-00198,2024-08-16,"Latte",4,5.5,22,Card
COF-00199,2024-08-29,"Latte",5,5.5,27.5,Card
COF-00200,2025-03-01,"Latte",5,5.5,27.5,Card
COF-00201,2024-04-07,"Latte",10,5.5,55,Card
COF-00202,2024-03-02,"Latte",8,5.5,44,Card
COF-00203,2025-02-15,"Latte",6,5.5,33,Card
COF-00204,2025-01-26,"Latte",3,5.5,16.5,Card
COF-00205,2024-11-06,"Latte",9,5.5,49.5,Card
COF-00206,2024-06-11,"Latte",10,5.5,55,Card
COF-00207,2024-09-25,"Latte",8,5.5,44,Card
COF-00208,2024-08-13,"Latte",7,5.5,38.5,Card
COF-00209,2024-08-04,"Latte",8,5.5,44,Card
COF-00210,2025-01-20,"Latte",9,5.5,49.5,Card
COF-00211,2025-02-16,"Latte",10,5.5,55,Card
COF-00212,2025-03-22,"Latte",5,5.5,27.5,Card
COF-00213,2025-02-03,"Latte",3,5.5,16.5,Card
COF-00214,2024-07-02,"Latte",8,5.5,44,Card
COF-00215,2025-03-16,"Latte",9,5.5,49.5,Card
COF-00216,2024-03-31,"Latte",9,5.5,49.5,Card
COF-00217,2024-10-05,"Latte",4,5.5,22,Card
COF-00218,2024-08-06,"Latte",6,5.5,33,Card
COF-00219,2024-03-30,"Latte",8,5.5,44,Card
COF-00220,2024-11-16,"Latte",7,5.5,38.5,Card
COF-00221,2024-08-08,"Latte",3,5.5,16.5,Card
COF-00222,2024-08-14,"Latte",10,5.5,55,Card
COF-00223,2024-11-28,"Latte",8,5.5,44,Card
COF-00224,2024-04-16,"Latte",6,5.5,33,Card
COF-00225,2025-03-18,"Latte",4,5.5,22,Card
COF-00226,2025-03-02,"Latte",6,5.5,33,Card
COF-00227,2024-07-31,"Latte",5,5.5,27.5,Card
COF-00228,2024-10-19,"Latte",5,5.5,27.5,Card
COF-00229,2025-01-29,"Latte",6,5.5,33,Card
COF-00230,2025-03-20,"Latte",10,5.5,55,Card
COF-00231,2025-02-18,"Latte",4,5.5,22,Card
COF-00232,2025-03-19,"Latte",10,5.5,55,Card
COF-00233,2024-10-09,"Latte",7,5.5,38.5,Card
COF-00234,2024-05-05,"Latte",6,5.5,33,Card
COF-00235,2025-01-03,"Latte",6,5.5,33,Card
COF-00236,2024-08-22,"Latte",6,5.5,33,Card
COF-00237,2024-10-27,"Latte",4,5.5,22,Card
COF-00238,2024-11-28,"Latte",5,5.5,27.5,Card
COF-00239,2025-03-27,"Latte",9,5.5,49.5,Card
COF-00240,2025-02-13,"Latte",7,5.5,38.5,Card
COF-00241,2024-10-31,"Latte",8,5.5,44,Card
COF-00242,2025-01-28,"Latte",4,5.5,22,Card
COF-00243,2024-08-12,"Latte",10,5.5,55,Card
COF-00244,2024-08-10,"Latte",5,5.5,27.5,Card
COF-00245,2025-01-14,"Latte",4,5.5,22,Card
COF-00246,2025-01-10,"Latte",9,5.5,49.5,Card
COF-00247,2025-02-05,"Latte",6,5.5,33,Card
COF-00248,2024-07-18,"Latte",5,5.5,27.5,Card
COF-00249,2024-08-25,"Latte",4,5.5,22,Card
COF-00250,2024-05-12,"Latte",10,5.5,55,Card
COF-00251,2025-01-09,"Latte",8,5.5,44,Card
COF-00252,2024-08-27,"Latte",7,5.5,38.5,Card
COF-00253,2024-07-30,"Latte",10,5.5,55,Card
COF-00254,2024-10-22,"Latte",3,5.5,16.5,Card
COF-00255,2025-02-07,"Latte",4,5.5,22,Card
COF-00256,2024-06-30,"Latte",10,5.5,55,Card
COF-00257,2024-07-20,"Latte",4,5.5,22,Cash
COF-00258,2025-03-16,"Latte",3,5.5,16.5,Card
COF-00259,2024-08-05,"Latte",5,5.5,27.5,Card
COF-00260,2024-03-02,"Latte",6,5.5,33,Cash
COF-00261,2024-06-19,"Latte",4,5.5,22,Cash
COF-00262,2024-05-28,"Latte",7,5.5,38.5,Card
COF-00263,2025-03-12,"Latte",5,5.5,27.5,Card
COF-00264,2024-06-11,"Latte",6,5.5,33,Card
COF-00265,2024-11-02,"Latte",5,5.5,27.5,Card
COF-00266,2024-10-31,"Latte",6,5.5,33,Card
COF-00267,2025-03-18,"Latte",4,5.5,22,Card
COF-00268,2025-02-08,"Latte",9,5.5,49.5,Card
COF-00269,2024-04-02,"Latte",9,5.5,49.5,Card
COF-00270,2025-01-09,"Latte",3,5.5,16.5,Card
COF-00271,2024-07-03,"Latte",6,5.5,33,Card
COF-00272,2024-05-17,"Latte",5,5.5,27.5,Card
COF-00273,2024-08-13,"Latte",8,5.5,44,Card
COF-00274,2024-04-11,"Latte",5,5.5,27.5,Card
COF-00275,2024-07-30,"Latte",3,5.5,16.5,Card
COF-00276,2024-04-22,"Latte",5,5.5,27.5,Card
COF-00277,2025-01-07,"Latte",9,5.5,49.5,Card
COF-00278,2024-05-15,"Latte",3,5.5,16.5,Card
COF-00279,2024-11-30,"Latte",6,5.5,33,Card
COF-00280,2024-05-31,"Latte",4,5.5,22,Card
COF-00281,2024-03-08,"Latte",4,5.5,22,Card
COF-00282,2024-08-01,"Latte",10,5.5,55,Card
COF-00283,2024-07-10,"Latte",6,5.5,33,Card
COF-00284,2024-10-20,"Latte",4,5.5,22,Card
COF-00285,2024-10-17,"Latte",9,5.5,49.5,Card
COF-00286,2025-01-10,"Latte",6,5.5,33,Card
COF-00287,2024-03-05,"Latte",10,5.5,55,Card
COF-00288,2025-02-24,"Latte",3,5.5,16.5,Card
COF-00289,2024-09-16,"Latte",3,5.5,16.5,Card
COF-00290,2024-06-24,"Latte",7,5.5,38.5,Card
COF-00291,2024-07-31,"Latte",4,5.5,22,Card
COF-00292,2025-01-10,"Latte",3,5.5,16.5,Card
COF-00293,2024-05-30,"Latte",10,5.5,55,Card
COF-00294,2024-12-18,"Latte",9,5.5,49.5,Card
COF-00295,2025-01-12,"Latte",4,5.5,22,Card
COF-00296,2025-03-09,"Latte",7,5.5,38.5,Card
COF-00297,2024-09-01,"Latte",10,5.5,55,Card
COF-00298,2024-11-24,"Latte",4,5.5,22,Card
COF-00299,2024-06-24,"Latte",3,5.5,16.5,Card
COF-00300,2024-03-11,"Latte",10,5.5,55,Card
COF-00301,2024-12-01,"Latte",3,5.5,16.5,Card
COF-00302,2024-03-17,"Latte",4,5.5,22,Cash
COF-00303,2024-07-10,"Latte",9,5.5,49.5,Card
COF-00304,2024-10-18,"Latte",7,5.5,38.5,Card
COF-00305,2024-10-15,"Latte",5,5.5,27.5,Card
COF-00306,2024-10-17,"Latte",3,5.5,16.5,Card
COF-00307,2024-12-01,"Latte",7,5.5,38.5,Card
COF-00308,2024-05-05,"Latte",9,5.5,49.5,Card
COF-00309,2025-03-27,"Latte",8,5.5,44,Card
COF-00310,2024-07-02,"Latte",7,5.5,38.5,Card
COF-00311,2024-03-19,"Latte",4,5.5,22,Card
COF-00312,2024-07-10,"Latte",3,5.5,16.5,Card
COF-00313,2025-03-26,"Latte",9,5.5,49.5,Card
COF-00314,2024-10-11,"Latte",7,5.5,38.5,Card
COF-00315,2024-08-07,"Latte",10,5.5,55,Card
COF-00316,2024-08-18,"Latte",3,5.5,16.5,Card
COF-00317,2024-03-20,"Latte",8,5.5,44,Card
COF-00318,2024-07-18,"Latte",5,5.5,27.5,Card
COF-00319,2024-06-29,"Latte",7,5.5,38.5,Card
COF-00320,2024-07-05,"Latte",3,5.5,16.5,Card
COF-00321,2024-03-19,"Latte",3,5.5,16.5,Card
COF-00322,2025-01-09,"Latte",7,5.5,38.5,Card
COF-00323,2024-07-28,"Latte",4,5.5,22,Card
COF-00324,2024-07-31,"Latte",7,5.5,38.5,Card
COF-00325,2025-01-14,"Latte",4,5.5,22,Card
COF-00326,2024-12-01,"Latte",9,5.5,49.5,Card
COF-00327,2024-06-18,"Latte",7,5.5,38.5,Card
COF-00328,2024-03-09,"Latte",5,5.5,27.5,Card
COF-00329,2025-03-24,"Latte",8,5.5,44,Card
COF-00330,2025-01-07,"Latte",3,5.5,16.5,Card
COF-00331,2024-10-02,"Latte",8,5.5,44,Card
COF-00332,2024-09-13,"Latte",7,5.5,38.5,Card
COF-00333,2024-10-02,"Latte",7,5.5,38.5,Card
COF-00334,2025-03-17,"Latte",3,5.5,16.5,Card
COF-00335,2024-12-09,"Latte",8,5.5,44,Card
COF-00336,2024-11-13,"Latte",7,5.5,38.5,Card
COF-00337,2024-07-27,"Latte",7,5.5,38.5,Card
COF-00338,2024-06-18,"Latte",3,5.5,16.5,Card
COF-00339,2025-02-18,"Latte",3,5.5,16.5,Card
COF-00340,2024-09-08,"Latte",9,5.5,49.5,Card
COF-00341,2024-09-13,"Latte",7,5.5,38.5,Card
COF-00342,2024-12-11,"Latte",9,5.5,49.5,Card
COF-00343,2024-11-09,"Latte",5,5.5,27.5,Card
COF-00344,2024-07-22,"Latte",4,5.5,22,Card
COF-00345,2024-10-23,"Latte",5,5.5,27.5,Card
COF-00346,2024-12-22,"Latte",5,5.5,27.5,Card
COF-00347,2024-11-25,"Latte",5,5.5,27.5,Card
COF-00348,2024-11-21,"Latte",6,5.5,33,Card
COF-00349,2024-12-18,"Latte",5,5.5,27.5,Card
COF-00350,2024-05-26,"Latte",7,5.5,38.5,Card
COF-00351,2025-01-22,"Latte",3,5.5,16.5,Card
COF-00352,2024-09-14,"Latte",6,5.5,33,Card
COF-00353,2024-11-08,"Latte",10,5.5,55,Card
COF-00354,2024-05-15,"Latte",3,5.5,16.5,Card
COF-00355,2024-10-22,"Latte",3,5.5,16.5,Card
COF-00356,2024-10-31,"Latte",8,5.5,44,Card
COF-00357,2025-03-25,"Latte",4,5.5,22,Card
COF-00358,2024-05-03,"Latte",9,5.5,49.5,Card
COF-00359,2024-11-30,"Latte",9,5.5,49.5,Card
COF-00360,2025-01-11,"Latte",10,5.5,55,Card
COF-00361,2024-06-28,"Latte",6,5.5,33,Card
COF-00362,2024-04-14,"Latte",7,5.5,38.5,Card
COF-00363,2024-07-21,"Latte",3,5.5,16.5,Card
COF-00364,2024-03-17,"Latte",3,5.5,16.5,Card
COF-00365,2025-01-02,"Latte",6,5.5,33,Card
COF-00366,2025-02-28,"Latte",3,5.5,16.5,Card
COF-00367,2025-03-17,"Latte",3,5.5,16.5,Card
COF-00368,2025-02-18,"Latte",4,5.5,22,Card
COF-00369,2025-01-02,"Latte",8,5.5,44,Card
COF-00370,2024-07-01,"Latte",9,5.5,49.5,Card
COF-00371,2024-06-24,"Latte",9,5.5,49.5,Cash
COF-00372,2024-06-07,"Latte",10,5.5,55,Card
COF-00373,2024-09-22,"Latte",6,5.5,33,Card
COF-00374,2024-07-23,"Latte",5,5.5,27.5,Card
COF-00375,2025-02-13,"Latte",10,5.5,55,Card
COF-00376,2024-08-09,"Latte",6,5.5,33,Card
COF-00377,2024-05-04,"Latte",9,5.5,49.5,Card
COF-00378,2024-12-31,"Latte",9,5.5,49.5,Card
COF-00379,2025-03-24,"Latte",6,5.5,33,Card
COF-00380,2024-06-09,"Latte",5,5.5,27.5,Card
COF-00381,2025-01-24,"Latte",3,5.5,16.5,Card
COF-00382,2024-05-21,"Latte",9,5.5,49.5,Card
COF-00383,2024-06-28,"Latte",7,5.5,38.5,Card
COF-00384,2024-12-16,"Latte",6,5.5,33,Card
COF-00385,2025-03-01,"Latte",7,5.5,38.5,Card
COF-00386,2024-03-06,"Latte",3,5.5,16.5,Card
COF-00387,2024-08-15,"Latte",5,5.5,27.5,Card
COF-00388,2025-03-11,"Latte",4,5.5,22,Card
COF-00389,2025-02-16,"Latte",7,5.5,38.5,Cash
COF-00390,2024-04-28,"Latte",5,5.5,27.5,Card
COF-00391,2024-08-06,"Latte",5,5.5,27.5,Card
COF-00392,2024-10-29,"Latte",7,5.5,38.5,Card
COF-00393,2024-06-21,"Latte",8,5.5,44,Card
COF-00394,2024-12-27,"Latte",3,5.5,16.5,Card
COF-00395,2024-12-06,"Latte",6,5.5,33,Card
COF-00396,2024-05-01,"Latte",9,5.5,49.5,Card
COF-00397,2024-03-01,"Latte",10,5.5,55,Card
COF-00398,2025-02-18,"Latte",9,5.5,49.5,Card
COF-00399,2024-10-17,"Latte",10,5.5,55,Card
COF-00400,2024-06-12,"Latte",5,5.5,27.5,Card
COF-00401,2024-06-15,"Latte",4,5.5,22,Card
COF-00402,2024-04-16,"Latte",5,5.5,27.5,Card
COF-00403,2024-08-26,"Latte",5,5.5,27.5,Card
COF-00404,2024-11-15,"Latte",8,5.5,44,Card
COF-00405,2024-04-10,"Latte",8,5.5,44,Card
COF-00406,2024-08-17,"Latte",4,5.5,22,Card
COF-00407,2024-11-17,"Latte",8,5.5,44,Card
COF-00408,2024-12-28,"Latte",4,5.5,22,Card
COF-00409,2024-04-06,"Latte",7,5.5,38.5,Card
COF-00410,2024-05-10,"Latte",3,5.5,16.5,Card
COF-00411,2024-06-28,"Latte",3,5.5,16.5,Card
COF-00412,2025-03-16,"Latte",6,5.5,33,Card
COF-00413,2024-10-23,"Latte",7,5.5,38.5,Card
COF-00414,2024-06-02,"Latte",8,5.5,44,Card
COF-00415,2024-05-07,"Latte",5,5.5,27.5,Card
COF-00416,2024-03-23,"Latte",9,5.5,49.5,Card
COF-00417,2024-12-06,"Latte",4,5.5,22,Card
COF-00418,2024-05-13,"Latte",7,5.5,38.5,Card
COF-00419,2024-10-07,"Latte",7,5.5,38.5,Cash
COF-00420,2025-03-16,"Latte",3,5.5,16.5,Card
COF-00421,2024-12-03,"Latte",5,5.5,27.5,Card
COF-00422,2024-08-14,"Latte",5,5.5,27.5,Card
COF-00423,2025-03-21,"Latte",4,5.5,22,Card
COF-00424,2024-06-30,"Latte",9,5.5,49.5,Card
COF-00425,2024-11-03,"Latte",6,5.5,33,Card
COF-00426,2024-04-25,"Latte",7,5.5,38.5,Card
COF-00427,2024-03-25,"Latte",3,5.5,16.5,Card
COF-00428,2024-06-13,"Latte",6,5.5,33,Card
COF-00429,2025-03-31,"Latte",3,5.5,16.5,Card
COF-00430,2025-01-04,"Latte",6,5.5,33,Card
COF-00431,2025-03-11,"Latte",8,5.5,44,Card
COF-00432,2024-06-13,"Latte",7,5.5,38.5,Card
COF-00433,2024-06-07,"Latte",8,5.5,44,Card
COF-00434,2024-09-27,"Latte",3,5.5,16.5,Card
COF-00435,2025-03-31,"Latte",6,5.5,33,Card
COF-00436,2025-03-31,"Latte",7,5.5,38.5,Card
COF-00437,2024-10-06,"Latte",6,5.5,33,Card
COF-00438,2024-05-20,"Latte",10,5.5,55,Card
COF-00439,2024-04-17,"Latte",6,5.5,33,Card
COF-00440,2024-08-10,"Latte",6,5.5,33,Card
COF-00441,2024-06-21,"Latte",4,5.5,22,Card
COF-00442,2024-05-12,"Latte",5,5.5,27.5,Card
COF-00443,2024-04-03,"Latte",5,5.5,27.5,Card
COF-00444,2024-10-22,"Latte",10,5.5,55,Card
COF-00445,2025-01-16,"Latte",7,5.5,38.5,Card
COF-00446,2024-03-23,"Latte",5,5.5,27.5,Card
COF-00447,2024-10-05,"Latte",3,5.5,16.5,Card
COF-00448,2024-06-07,"Latte",4,5.5,22,Card
COF-00449,2024-03-30,"Latte",8,5.5,44,Card
COF-00450,2024-10-12,"Latte",4,5.5,22,Card
COF-00451,2024-11-06,"Latte",9,5.5,49.5,Card
COF-00452,2024-12-23,"Latte",4,5.5,22,Card
COF-00453,2025-02-27,"Latte",9,5.5,49.5,Card
COF-00454,2024-04-19,"Latte",10,5.5,55,Card
COF-00455,2024-06-21,"Latte",10,5.5,55,Card
COF-00456,2024-03-27,"Latte",6,5.5,33,Card
COF-00457,2024-03-18,"Latte",3,5.5,16.5,Card
COF-00458,2024-12-16,"Latte",9,5.5,49.5,Card
COF-00459,2024-11-27,"Latte",3,5.5,16.5,Card
COF-00460,2024-12-22,"Latte",3,5.5,16.5,Card
COF-00461,2024-08-29,"Latte",7,5.5,38.5,Card
COF-00462,2025-01-09,"Latte",10,5.5,55,Card
COF-00463,2024-09-21,"Latte",3,5.5,16.5,Card
